Id,Name,Country
1,Port Jesse,Pitcairn Islands
2,Port Stevenmouth,Slovakia (Slovak Republic)
3,Lake Julie,Marshall Islands
4,North Geraldburgh,Venezuela
5,Rubenside,Poland
6,Simpsonfurt,Brazil
7,South Ann,Svalbard & Jan Mayen Islands
8,Lake Christopher,Finland
9,North Melanieshire,Rwanda
10,Lake Derekberg,Svalbard & Jan Mayen Islands
11,West Kathleenstad,South Georgia and the South Sandwich Islands
12,Ewingshire,Brazil
13,Port Amandahaven,Reunion
14,Port Julieport,Netherlands
15,Lake Emilystad,Kazakhstan
16,Blackchester,Saint Helena
17,Jennifermouth,Greece
18,West Elizabeth,Gibraltar
19,New Sheilatown,Lebanon
20,South Johnfort,Czech Republic
21,West Mary,Isle of Man
22,Kristinburgh,Tajikistan
23,Jackmouth,Israel
24,East Amberview,Finland
25,Petersbury,Iran
26,Dannystad,South Africa
27,Aliciamouth,United Kingdom
28,Lake Ryan,Monaco
29,Lake Malikshire,Mauritius
30,Elizabethchester,Pitcairn Islands
31,Stephaniebury,Trinidad and Tobago
32,Morrisfort,Slovenia
33,Port Austin,Tokelau
34,Medinaberg,Singapore
35,Bradyfurt,Nauru
36,Tracychester,Kazakhstan
37,West Donna,French Guiana
38,Dawnborough,Saint Vincent and the Grenadines
39,East Stevenmouth,Bosnia and Herzegovina
40,Lake Johnside,Lesotho
41,South Meghan,Greece
42,Shawnview,Kuwait
43,West Theresa,Svalbard & Jan Mayen Islands
44,Claytonfort,Japan
45,Burnsland,United States of America
46,East Lindsayland,Turkmenistan
47,Rossborough,Venezuela
48,South Andrea,Spain
49,Port Catherineview,Jamaica
50,Christinabury,Somalia
51,Victorshire,Congo
52,Lake Theresatown,Heard Island and McDonald Islands
53,Franciscoborough,Argentina
54,Terrichester,Philippines
55,Stevenhaven,Solomon Islands
56,New Juanburgh,Myanmar
57,Aguirrehaven,Wallis and Futuna
58,Lake Davidhaven,Romania
59,Denisemouth,Egypt
60,Theresamouth,Turkey
61,Harrisfort,Saint Lucia
62,New Matthew,Germany
63,South David,Tokelau
64,Lake Wayne,Dominica
65,Jorgefurt,Netherlands Antilles
66,West Rita,Western Sahara
67,West Victoria,Holy See (Vatican City State)
68,Lisabury,Antarctica (the territory South of 60 deg S)
69,West Brittany,Lao People's Democratic Republic
70,Castilloland,Samoa
71,Lake Robert,Luxembourg
72,Jeffreymouth,Cote d'Ivoire
73,South Brenda,Niger
74,West Matthew,North Macedonia
75,Guerreromouth,Korea
76,Port Amandaborough,Timor-Leste
77,Phillipbury,Paraguay
78,Sandramouth,Tokelau
79,Espinozaville,Iraq
80,West Christopherstad,Thailand
81,West Alexander,Solomon Islands
82,Dianeshire,Russian Federation
83,Herreraton,Denmark
84,Jameshaven,Turks and Caicos Islands
85,Browningshire,Northern Mariana Islands
86,Lake Marc,Romania
87,Port Charles,Palestinian Territory
88,Port Patricia,Greenland
89,Lake Christopher,Anguilla
90,South Maryville,Ghana
91,Michealfurt,Bahamas
92,Rachelmouth,Palestinian Territory
93,Kaiserside,Iceland
94,Port Roger,Martinique
95,Rodriguezland,Ghana
96,New Brandi,British Indian Ocean Territory (Chagos Archipelago)
97,Phillipmouth,Oman
98,West Dana,South Africa
99,Joelberg,Turks and Caicos Islands
100,Port Megan,Macao
